ID_de_Membro,Data_da_Visita,Idade,Genêro,Tipo_Cartão_Membro,Tipo_Treino,Tempo_duração_Treino,Calorias_Queimadas,Horário_Entrada,Status_Presença
201,2024-01-05,46,Mulher,Trimestal,Treino_Força,27,246,6:22,Falta
202,2024-10-15,49,Homem,Anual,Cardio,72,591,11:22,Falta
203,2024-03-14,39,Outro,Mensal,CrosFit,52,486,10:01,Falta
204,2024-07-12,24,Homem,Mensal,Cardio,51,275,11:41,Falta
205,2024-04-14,43,Homem,Anual,Treino_Força,36,301,14:28,Presente
206,2024-02-22,56,Mulher,Anual,CrosFit,74,398,19:03,Presente
207,2024-06-28,57,Homem,Anual,Cardio,64,474,10:09,Presente
208,2024-05-31,54,Mulher,Mensal,Treino_Força,62,613,10:30,Presente
209,2024-08-21,25,Homem,Trimestal,Cardio,106,766,19:32,Falta
210,2024-02-25,49,Homem,Anual,Cardio,120,614,15:58,Falta
211,2024-01-12,52,Outro,Trimestal,Yoga,101,548,15:07,Presente
212,2024-08-25,50,Mulher,Trimestal,HIIT,69,655,14:23,Falta
213,2024-09-22,50,Mulher,Trimestal,CrosFit,34,266,9:27,Presente
214,2024-11-25,64,Mulher,Mensal,Treino_Força,98,769,17:20,Falta
215,2024-11-30,38,Mulher,Anual,Cardio,111,1025,21:15,Presente
216,2024-04-07,27,Homem,Mensal,Cardio,70,540,14:34,Falta
217,2024-08-26,41,Outro,Anual,Yoga,83,741,17:44,Falta
218,2024-11-07,52,Homem,Anual,Treino_Força,92,852,17:03,Presente
219,2024-12-21,62,Outro,Mensal,CrosFit,58,368,17:22,Falta
220,2024-10-21,28,Homem,Anual,HIIT,26,169,15:20,Presente
221,2024-05-20,58,Mulher,Anual,Treino_Força,59,466,9:17,Presente
222,2024-02-09,53,Mulher,Anual,Treino_Força,89,593,22:39,Presente
223,2024-12-23,52,Outro,Mensal,HIIT,78,608,14:51,Presente
224,2024-07-09,58,Mulher,Mensal,HIIT,23,227,22:05,Presente
225,2024-03-19,27,Homem,Mensal,Yoga,116,816,22:37,Presente
226,2024-05-12,64,Homem,Mensal,CrosFit,44,234,16:01,Falta
227,2024-05-09,24,Homem,Trimestal,Treino_Força,53,489,7:04,Presente
228,2024-03-04,43,Homem,Mensal,CrosFit,29,205,7:21,Presente
229,2024-05-03,40,Outro,Anual,Yoga,47,235,16:19,Falta
230,2024-05-14,41,Outro,Trimestal,Cardio,85,512,7:31,Falta
231,2024-09-04,56,Outro,Mensal,CrosFit,64,561,17:26,Falta
232,2024-05-13,25,Mulher,Anual,HIIT,45,404,12:57,Falta
233,2024-08-07,53,Homem,Trimestal,HIIT,30,223,12:27,Falta
234,2024-12-02,18,Outro,Anual,Cardio,42,248,11:51,Presente
235,2024-11-30,20,Mulher,Trimestal,Treino_Força,78,619,11:09,Presente
236,2024-12-22,36,Mulher,Trimestal,Yoga,87,725,20:26,Falta
237,2024-05-26,50,Mulher,Anual,Yoga,117,959,11:35,Presente
238,2024-01-16,62,Homem,Mensal,Cardio,69,600,15:31,Falta
239,2024-01-07,36,Outro,Anual,Cardio,94,735,15:39,Presente
240,2024-02-23,30,Outro,Anual,CrosFit,48,437,10:40,Falta
241,2024-04-03,33,Homem,Anual,Yoga,101,714,11:18,Presente
242,2024-07-25,55,Outro,Mensal,Treino_Força,105,867,5:35,Falta
243,2024-10-12,29,Outro,Anual,Treino_Força,112,654,16:57,Presente
244,2024-01-24,64,Outro,Anual,Treino_Força,102,549,5:57,Falta
245,2024-01-16,44,Outro,Anual,Treino_Força,63,452,11:49,Falta
246,2024-01-27,18,Homem,Anual,HIIT,36,328,5:12,Presente
247,2024-11-29,47,Homem,Trimestal,Treino_Força,109,1040,19:58,Falta
248,2024-04-14,43,Homem,Mensal,CrosFit,27,204,18:27,Presente
249,2024-09-22,22,Homem,Anual,Yoga,65,428,12:41,Falta
250,2024-02-06,50,Outro,Mensal,CrosFit,58,505,22:17,Falta
251,2024-02-04,41,Outro,Mensal,HIIT,68,465,21:12,Presente
252,2024-04-11,60,Outro,Mensal,Yoga,77,446,19:33,Falta
253,2024-04-05,29,Homem,Anual,Treino_Força,52,431,14:57,Presente
254,2024-06-26,19,Homem,Anual,Treino_Força,40,362,10:13,Falta
255,2024-06-25,45,Outro,Anual,Cardio,84,476,6:12,Falta
256,2024-12-19,53,Homem,Mensal,Cardio,112,733,6:38,Presente
257,2024-02-20,35,Homem,Anual,Yoga,108,785,12:31,Presente
258,2024-12-02,40,Homem,Trimestal,CrosFit,92,782,8:39,Presente
259,2024-04-08,49,Mulher,Trimestal,Cardio,87,622,18:24,Presente
260,2024-12-23,24,Mulher,Anual,Treino_Força,80,512,21:10,Falta
261,2024-02-08,45,Outro,Trimestal,Cardio,56,491,6:08,Falta
262,2024-02-18,39,Mulher,Anual,CrosFit,31,171,15:47,Falta
263,2024-01-15,48,Mulher,Trimestal,Yoga,44,396,14:12,Falta
264,2024-08-30,55,Homem,Mensal,Yoga,35,320,12:05,Presente
265,2024-07-09,62,Mulher,Anual,Treino_Força,75,639,17:48,Presente
266,2024-08-02,64,Outro,Mensal,Yoga,26,192,18:21,Presente
267,2024-10-09,26,Outro,Anual,Treino_Força,78,500,15:38,Falta
268,2024-06-26,33,Mulher,Mensal,CrosFit,31,164,22:28,Falta
269,2024-03-25,49,Homem,Trimestal,Treino_Força,70,378,13:14,Presente
270,2024-07-13,59,Mulher,Anual,HIIT,32,272,13:18,Falta
271,2024-08-06,63,Homem,Trimestal,Yoga,120,1058,12:00,Falta
272,2024-11-19,23,Mulher,Trimestal,Treino_Força,35,210,21:41,Falta
273,2024-12-05,65,Outro,Anual,HIIT,36,279,11:56,Falta
274,2024-04-18,18,Outro,Trimestal,Cardio,85,499,12:55,Falta
275,2024-03-05,53,Mulher,Anual,HIIT,61,415,13:41,Falta
276,2024-07-26,26,Mulher,Mensal,Cardio,53,429,20:38,Presente
277,2024-02-04,25,Mulher,Trimestal,HIIT,106,640,22:52,Presente
278,2024-04-19,38,Mulher,Trimestal,Cardio,114,1087,8:38,Falta
279,2024-11-08,21,Mulher,Anual,HIIT,44,302,16:00,Falta
280,2024-09-25,58,Homem,Mensal,Yoga,34,201,12:40,Presente
281,2024-08-16,35,Mulher,Trimestal,HIIT,88,618,19:08,Presente
282,2024-08-29,27,Outro,Anual,Cardio,32,310,13:27,Presente
283,2024-09-09,24,Mulher,Mensal,Cardio,50,366,14:26,Falta
284,2024-08-30,19,Outro,Trimestal,CrosFit,89,848,20:00,Falta
285,2024-05-15,61,Outro,Mensal,Cardio,57,303,7:24,Falta
286,2024-06-11,19,Mulher,Anual,Cardio,98,931,16:39,Falta
287,2024-04-13,22,Outro,Anual,Treino_Força,114,939,5:36,Presente
288,2024-01-19,53,Outro,Anual,Cardio,29,177,14:50,Falta
289,2024-06-28,58,Outro,Anual,Cardio,107,629,6:01,Falta
290,2024-01-05,20,Mulher,Mensal,HIIT,113,1049,7:49,Falta
291,2024-04-22,30,Homem,Mensal,Yoga,95,668,11:28,Presente
292,2024-08-23,60,Mulher,Trimestal,Yoga,119,994,17:54,Presente
293,2024-10-12,26,Homem,Anual,Treino_Força,97,876,21:35,Presente
294,2024-05-30,49,Mulher,Mensal,Cardio,89,655,13:23,Presente
295,2024-12-22,64,Mulher,Mensal,CrosFit,54,404,5:23,Presente
296,2024-10-17,41,Outro,Anual,Yoga,72,642,5:02,Presente
297,2024-08-23,52,Mulher,Trimestal,CrosFit,94,588,9:11,Falta
298,2024-03-22,24,Homem,Mensal,Yoga,116,871,14:57,Falta
299,2024-09-10,47,Mulher,Trimestal,Cardio,120,900,10:31,Falta
300,2024-04-07,62,Outro,Mensal,CrosFit,92,853,13:32,Presente
301,2024-09-27,59,Homem,Anual,CrosFit,42,283,22:14,Presente
302,2024-12-13,38,Homem,Mensal,HIIT,23,226,10:23,Falta
303,2024-10-19,50,Homem,Trimestal,CrosFit,92,797,13:33,Falta
304,2024-04-11,57,Homem,Anual,Cardio,108,949,6:48,Falta
305,2024-11-02,42,Outro,Anual,Cardio,46,396,8:09,Presente
306,2024-10-01,65,Homem,Mensal,Treino_Força,104,941,11:11,Falta
307,2024-04-09,23,Outro,Mensal,Yoga,83,481,5:58,Presente
308,2024-05-21,39,Homem,Trimestal,Treino_Força,91,830,22:57,Presente
309,2024-07-19,19,Outro,Mensal,Cardio,76,669,8:30,Presente
310,2024-06-09,19,Mulher,Trimestal,Treino_Força,46,380,12:44,Falta
311,2024-08-01,37,Outro,Trimestal,CrosFit,120,964,22:42,Presente
312,2024-01-24,31,Outro,Trimestal,Cardio,54,441,17:00,Falta
313,2024-12-01,62,Mulher,Anual,HIIT,100,935,5:21,Presente
314,2024-03-30,40,Outro,Mensal,Yoga,99,599,11:27,Falta
315,2024-02-13,19,Homem,Mensal,CrosFit,79,535,19:03,Presente
316,2024-07-21,28,Outro,Trimestal,Cardio,75,422,22:21,Falta
317,2024-01-07,36,Outro,Mensal,Yoga,74,528,12:43,Presente
318,2024-03-17,59,Mulher,Anual,Yoga,120,797,18:31,Presente
319,2024-07-06,49,Homem,Anual,HIIT,33,226,12:39,Falta
320,2024-05-14,35,Mulher,Mensal,Cardio,107,543,19:37,Falta
321,2024-11-13,64,Homem,Anual,Yoga,98,494,7:07,Presente
322,2024-11-20,61,Outro,Trimestal,Treino_Força,69,388,6:24,Falta
323,2024-03-31,57,Mulher,Trimestal,CrosFit,24,144,8:56,Falta
324,2024-02-15,47,Homem,Anual,Treino_Força,70,512,21:52,Presente
325,2024-06-18,52,Homem,Anual,HIIT,76,390,11:07,Presente
326,2024-04-22,64,Homem,Anual,Treino_Força,35,198,21:54,Presente
327,2024-07-13,50,Homem,Trimestal,Yoga,31,305,9:53,Falta
328,2024-06-25,27,Homem,Trimestal,CrosFit,90,551,7:48,Falta
329,2024-07-26,35,Mulher,Mensal,HIIT,51,453,14:58,Presente
330,2024-05-19,63,Outro,Anual,HIIT,47,340,5:44,Presente
331,2024-11-19,56,Outro,Trimestal,HIIT,62,315,22:33,Presente
332,2024-03-16,57,Homem,Trimestal,Yoga,64,609,13:29,Falta
333,2024-06-17,51,Mulher,Trimestal,CrosFit,92,599,14:54,Falta
334,2024-09-16,58,Homem,Mensal,Cardio,24,168,8:41,Presente
335,2024-07-04,53,Mulher,Anual,Cardio,80,755,14:04,Presente
336,2024-01-26,34,Outro,Mensal,Cardio,29,210,10:34,Falta
337,2024-01-01,57,Mulher,Trimestal,CrosFit,118,760,5:28,Presente
338,2024-04-10,20,Mulher,Mensal,Cardio,116,1075,12:14,Presente
339,2024-10-08,43,Outro,Trimestal,CrosFit,36,285,9:34,Presente
340,2024-02-14,27,Mulher,Trimestal,HIIT,100,750,15:38,Presente
341,2024-12-08,36,Homem,Mensal,CrosFit,46,257,11:09,Falta
342,2024-11-15,50,Homem,Mensal,Yoga,37,327,15:34,Presente
343,2024-12-14,27,Mulher,Mensal,Treino_Força,48,354,21:09,Falta
344,2024-05-22,32,Outro,Anual,CrosFit,119,1118,15:13,Falta
345,2024-06-29,44,Homem,Anual,HIIT,20,180,13:36,Presente
346,2024-01-08,26,Mulher,Trimestal,Cardio,118,813,12:44,Presente
347,2024-01-24,33,Mulher,Trimestal,HIIT,104,814,17:55,Falta
348,2024-04-17,22,Homem,Mensal,Treino_Força,53,396,11:21,Falta
349,2024-08-13,36,Homem,Mensal,Cardio,84,756,6:51,Presente
350,2024-03-17,60,Outro,Mensal,Yoga,83,750,7:21,Presente
351,2024-11-19,28,Mulher,Mensal,Cardio,35,203,7:10,Presente
352,2024-10-11,53,Outro,Anual,CrosFit,79,448,15:58,Presente
353,2024-01-20,58,Outro,Trimestal,Cardio,25,201,18:19,Falta
354,2024-10-28,20,Homem,Mensal,Cardio,116,997,19:31,Presente
355,2024-08-12,46,Outro,Trimestal,Cardio,66,621,17:54,Presente
356,2024-02-22,65,Homem,Mensal,Treino_Força,73,605,13:44,Falta
357,2024-02-27,26,Mulher,Anual,Cardio,52,462,7:12,Falta
358,2024-11-27,48,Outro,Anual,CrosFit,74,719,12:34,Falta
359,2024-04-20,59,Mulher,Anual,HIIT,48,332,13:08,Presente
360,2024-05-30,47,Homem,Trimestal,HIIT,31,192,21:19,Falta
361,2024-08-31,38,Outro,Mensal,Cardio,111,900,21:55,Presente
362,2024-09-18,49,Homem,Trimestal,Treino_Força,56,504,14:12,Presente
363,2024-02-03,40,Homem,Mensal,Cardio,36,272,17:17,Presente
364,2024-05-04,33,Outro,Mensal,HIIT,108,813,8:12,Presente
